"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\ProductsList.js", "JavaScript", 0, 128, 0, 0, 0, 1, 18, 147
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\Sidebar.css", "CSS", 0, 0, 37, 0, 0, 0, 4, 41
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\Sidebar.js", "JavaScript", 0, 85, 0, 0, 0, 0, 5, 90
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\TravelAgencyDashboard.js", "JavaScript", 0, 92, 0, 0, 0, 0, 16, 108
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\UpdateProduct.js", "JavaScript", 0, 193, 0, 0, 0, 34, 28, 255
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\UpdateUser.js", "JavaScript", 0, 128, 0, 0, 0, 0, 15, 143
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Admin\UsersList.js", "JavaScript", 0, 124, 0, 0, 0, 0, 22, 146
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\Cart.css", "CSS", 0, 0, 158, 0, 0, 0, 20, 178
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\Cart.js", "JavaScript", 0, 101, 0, 0, 0, 0, 10, 111
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\CartItemCard.css", "CSS", 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\CartItemCard.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\CheckoutSteps.css", "CSS", 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\CheckoutSteps.js", "JavaScript", 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\ConfirmOrder.css", "CSS", 0, 0, 165, 0, 0, 0, 34, 199
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\ConfirmOrder.js", "JavaScript", 0, 104, 0, 0, 0, 4, 8, 116
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\OrderSuccess.css", "CSS", 0, 0, 41, 0, 0, 0, 2, 43
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\OrderSuccess.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\Payment.css", "CSS", 0, 0, 74, 0, 0, 0, 12, 86
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\Payment.js", "JavaScript", 0, 135, 0, 0, 0, 0, 19, 154
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\Shipping.css", "CSS", 0, 0, 94, 0, 0, 0, 12, 106
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Cart\Shipping.js", "JavaScript", 0, 112, 0, 0, 0, 0, 15, 127
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Home\Home.css", "CSS", 0, 0, 132, 0, 0, 0, 21, 153
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Home\Home.js", "JavaScript", 0, 104, 0, 0, 0, 2, 7, 113
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Home\ProductCard.js", "JavaScript", 0, 54, 0, 0, 0, 15, 6, 75
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Home\VehicleCard.js", "JavaScript", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Order\MyOrders.css", "CSS", 0, 0, 67, 0, 0, 0, 13, 80
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Order\MyOrders.js", "JavaScript", 0, 99, 0, 0, 0, 0, 12, 111
"c:\Users\ACER\Desktop\cheap-grocery\frontend\src\components\Order\OrderDetails.css", "CSS", 0, 0, 89, 0, 0, 0, 20, 109
